time,input,position,position_true
0.0,0.0,0.0074507122951684894,0.0
0.015007503751875938,0.0,-0.0020739645175677696,0.0
0.030015007503751877,0.0,0.009715328071510387,0.0
0.04502251125562781,0.0,0.02284544784612038,0.0
0.060030015007503754,0.0,-0.0035123006208500397,0.0
0.0750375187593797,0.0,-0.003512054354237708,0.0
0.09004502251125562,0.0,0.023688192232610872,0.0
0.10505252626313157,0.0,0.01151152093729363,0.0
0.12006003001500751,0.0,-0.0070421157890242815,0.0
0.13506753376688344,0.0,0.00813840065378947,0.0
0.1500750375187594,0.0,-0.006951265392186934,0.0
0.16508254127063532,0.0,-0.006985946303553853,0.0
0.18009004502251125,0.0,0.0036294340734905114,0.0
0.1950975487743872,0.0,-0.028699203669866967,0.0
0.21010505252626313,0.0,-0.02587376748769549,0.0
0.2251125562781391,0.0,-0.00843431293861459,0.0
0.24012006003001501,0.0,-0.015192466805016356,0.0
0.25512756378189094,0.0,0.004713709988929108,0.0
0.27013506753376687,0.0,-0.013620361132818164,0.0
0.28514257128564285,0.0,-0.02118455552002937,0.0
0.3001500750375188,0.0,0.02198473153382331,0.0
0.3151575787893947,0.0,-0.0033866445072980346,0.0
0.33016508254127064,0.0,0.0010129230703188575,0.0
0.34517258629314657,0.0,-0.02137122279320185,0.0
0.3601800900450225,0.0,-0.00816574086787774,0.0
0.3751875937968985,0.0,0.0016638388456479913,0.0
0.3901950975487744,0.0,-0.01726490366133454,0.0
0.40520260130065033,0.0,0.005635470275185079,0.0
0.42021010505252626,0.0,-0.009009580348782074,0.0
0.4352176088044022,0.0,-0.004375406246899151,0.0
0.4502251125562782,0.0,-0.009025599183440954,0.0
0.4652326163081541,0.0,0.027784172767634067,0.0
0.48024012006003003,0.0,-0.0002024583710690088,0.0
0.49524762381190596,0.0,-0.015865663934338504,0.0
0.5102551275637819,0.0,0.012338173681547835,0.0
0.5252626313156579,0.0,-0.018312654749565335,0.0
0.5402701350675337,0.0,0.003132953925071331,0.0
0.5552776388194097,0.0,-0.029395051858196634,0.0
0.5702851425712857,0.0,-0.019922790733476456,0.0
0.5852926463231616,0.0,0.0029529185380368526,0.0
0.6003001500750376,0.0,0.011076998699931156,0.0
0.6153076538269134,0.0,0.002570524217849557,0.0
0.6303151575787894,0.0,-0.0017347242358236078,0.0
0.6453226613306654,0.0,-0.004516555433839332,0.0
0.6603301650825413,0.0,-0.02217782985551141,0.0
0.6753376688344173,0.0,-0.010797663125920629,0.0
0.6903451725862931,0.0,-0.006909581564396812,0.0
0.7053526763381691,0.0,0.015856833393283736,0.0
0.720360180090045,0.0,0.005154274343526921,0.0
0.735367683841921,0.0,-0.02644560233044101,0.0
0.750375187593797,0.0,0.004861259540921925,0.0
0.7653826913456728,0.0,-0.005776234206244748,0.0
0.7803901950975488,0.0,-0.01015383000458938,0.0
0.7953976988494247,0.0,0.009175144332613018,0.0
0.8104052026013007,0.0,0.015464992837439264,0.0
0.8254127063531767,0.0,0.013969201786742979,0.0
0.8404202101050525,0.0,-0.012588262848339577,0.0
0.8554277138569285,0.0,-0.004638185637768219,0.0
0.8704352176088044,0.0,0.004968951471053459,0.0
0.8854427213606804,0.0,0.014633176906835388,0.0
0.9004502251125563,0.0,-0.007187613567679349,0.0
0.9154577288644322,0.0,-0.0027848846499572565,0.0
0.9304652326163082,0.0,-0.016595024610090423,0.0
0.9454727363681841,0.0,-0.017943099361210062,0.0
0.9604802401200601,0.0,0.012187887335912969,0.0
0.975487743871936,0.0,0.020343600428562342,0.0
0.9904952476238119,0.0,-0.0010801518237050077,0.0
1.0055027513756878,0.0,0.015052993468380361,0.0
1.0205102551275638,0.0,0.005424540375714512,0.0
1.0355177588794398,0.0,-0.009676796319076864,0.0
1.0505252626313157,0.0,0.0054209340826262085,0.0
1.0655327663831917,0.0,0.023070548496989536,0.0
1.0805402701350675,0.0,-0.000537390586649273,0.0
1.0955477738869435,0.0,0.023469654837210092,0.0
1.1105552776388194,0.0,-0.039296176561346166,0.0
1.1255627813906954,0.0,0.012328537565628357,0.0
1.1405702851425714,0.0,0.0013057060235725684,0.0
1.1555777888944472,0.0,-0.004485110256988012,0.0
1.1705852926463232,0.0,0.0013764116480325344,0.0
1.1855927963981991,0.0,-0.02981353371901339,0.0
1.2006003001500751,0.0,-0.0032950783175626787,0.0
1.2156078039019511,0.0,0.005356688572676196,0.0
1.2306153076538269,0.0,0.02216841067112274,0.0
1.2456228114057029,0.0,-0.007774053274104711,0.0
1.2606303151575788,0.0,-0.012127404043397814,0.0
1.2756378189094548,0.0,-0.007526355653768048,0.0
1.2906453226613308,0.0,0.013731031765531112,0.0
1.3056528264132066,0.0,0.004931266644895267,0.0
1.3206603301650826,0.0,-0.007946403056505583,0.0
